library,nid,name,stub_address
sceAudio,0x01562BA3,,0x08B7FD9C
sceAudio,0x2D53F36E,,0x08B7FDA4
sceAudio,0x43196845,,0x08B7FDAC
sceAudio,0x136CAF51,,0x08B7FDB4
sceAudio,0x13F592BC,,0x08B7FDBC
sceAudio,0x5EC81C55,,0x08B7FDC4
sceAudio,0x6FC46853,,0x08B7FDCC
sceAudio,0x95FD0C2D,,0x08B7FDD4
sceAudio,0xB011922F,,0x08B7FDDC
sceAudio,0xB7E1D8E7,,0x08B7FDE4
sceAudio,0xCB2E439E,,0x08B7FDEC
sceAudio,0xE2D56B2D,,0x08B7FDF4
sceSasCore,0x019B25EB,,0x08B80004
sceSasCore,0x07F58C24,,0x08B8000C
sceSasCore,0x267A6DD2,,0x08B80014
sceSasCore,0x2C8E6AB3,,0x08B8001C
sceSasCore,0x33D4AB37,,0x08B80024
sceSasCore,0x42778A9F,,0x08B8002C
sceSasCore,0x440CA7D8,,0x08B80034
sceSasCore,0x50A14DFC,,0x08B8003C
sceSasCore,0x5F9529F6,,0x08B80044
sceSasCore,0x68A46B95,,0x08B8004C
sceSasCore,0x74AE582A,,0x08B80054
sceSasCore,0x76F01ACA,,0x08B8005C
sceSasCore,0x787D04D5,,0x08B80064
sceSasCore,0x99944089,,0x08B8006C
sceSasCore,0x9EC3676A,,0x08B80074
sceSasCore,0xA0CF2FA4,,0x08B8007C
sceSasCore,0xA3589D81,,0x08B80084
sceSasCore,0xAD84D37F,,0x08B8008C
sceSasCore,0xB7660A23,,0x08B80094
sceSasCore,0xBD11B7C2,,0x08B8009C
sceSasCore,0xCBCD4F79,,0x08B800A4
sceSasCore,0xD1E0A01E,,0x08B800AC
sceSasCore,0xD5A229C9,,0x08B800B4
sceSasCore,0xE175EF66,,0x08B800BC
sceSasCore,0xE1CD9561,,0x08B800C4
sceSasCore,0xE855BF76,,0x08B800CC
sceSasCore,0xF983B186,,0x08B800D4
sceLibFont,0x099EF33C,,0x08B7FEC4
sceLibFont,0x0DA7535E,,0x08B7FECC
sceLibFont,0x27F6E642,,0x08B7FED4
sceLibFont,0x3AEA8CB6,,0x08B7FEDC
sceLibFont,0x574B6FBC,,0x08B7FEE4
sceLibFont,0x67F17ED7,,0x08B7FEEC
sceLibFont,0x74B21701,,0x08B7FEF4
sceLibFont,0x980F4895,,0x08B7FEFC
sceLibFont,0xA834319D,,0x08B7FF04
sceLibFont,0xBC75D85B,,0x08B7FF0C
sceLibFont,0xDCC80C2F,,0x08B7FF14
sceLibFont,0xF8F0752E,,0x08B7FF1C
sceDisplay,0x0E20F177,,0x08B7FE14
sceDisplay,0x289D82FE,,0x08B7FE1C
sceDisplay,0x46F186C3,,0x08B7FE24
sceDisplay,0x77ED8B3A,,0x08B7FE2C
sceDisplay,0x984C27E7,,0x08B7FE34
sceDisplay,0x9C6EAAD7,,0x08B7FE3C
sceDisplay,0xDBA6C4C4,,0x08B7FE44
sceDisplay,0xEEDA2E54,,0x08B7FE4C
