name,address,size
sub_08804000,0x08804000,cfg
sub_08804024,0x08804024,0x000000E4
sub_088040A8,0x088040A8,cfg
module_start,0x08804108,cfg
user_main,0x0880421C,cfg
sub_08804538,0x08804538,cfg
sub_08B4E6A0,0x08B4E6A0,cfg
sub_08B4F714,0x08B4F714,cfg
sub_08B72DF8,0x08B72DF8,cfg
sub_08B72F04,0x08B72F04,cfg
sub_08B7300C,0x08B7300C,cfg
sub_08B73030,0x08B73030,cfg
sub_08B73170,0x08B73170,cfg
sub_08B7500C,0x08B7500C,cfg
sub_08B73DC8,0x08B73DC8,cfg
sub_08B73E04,0x08B73E04,cfg
sub_08B73CF0,0x08B73CF0,cfg
sub_08B73E2C,0x08B73E2C,cfg
sub_08B73F1C,0x08B73F1C,cfg
sub_08B74100,0x08B74100,cfg
sub_08AB304C,0x08AB304C,cfg
sub_08B1477C,0x08B1477C,cfg
sub_08B14350,0x08B14350,cfg
sub_08B1D100,0x08B1D100,cfg
sub_08B1CE3C,0x08B1CE3C,cfg
sub_08B1BB84,0x08B1BB84,cfg
sub_08B1C018,0x08B1C018,cfg
sub_08B1CEFC,0x08B1CEFC,cfg
sub_08B6029C,0x08B6029C,cfg
sub_08B63B84,0x08B63B84,cfg
sub_08B603D8,0x08B603D8,cfg
sub_08B60D58,0x08B60D58,cfg
sub_08B60F20,0x08B60F20,cfg
sub_08B60F4C,0x08B60F4C,cfg
sub_08B60F74,0x08B60F74,cfg
sub_08B60FA0,0x08B60FA0,cfg
sub_08B63C90,0x08B63C90,cfg
sub_08B60B94,0x08B60B94,cfg
sub_08B609F0,0x08B609F0,cfg
sub_08B61478,0x08B61478,cfg
sub_08B614E8,0x08B614E8,cfg

sub_08B61664,0x08B61664,cfg
sub_08B61FF4,0x08B61FF4,cfg
sub_08B61EFC,0x08B61EFC,cfg
sub_08B61FA0,0x08B61FA0,cfg
sub_08B610C8,0x08B610C8,cfg
sub_08B613F0,0x08B613F0,cfg
sub_08B6141C,0x08B6141C,cfg
sub_08B61430,0x08B61430,cfg
sub_08B61438,0x08B61438,cfg
sub_08B61450,0x08B61450,cfg
sub_08B5F300,0x08B5F300,cfg

sub_08B14550,0x08B14550,cfg
sub_08B61228,0x08B61228,cfg
sub_08B15DCC,0x08B15DCC,cfg
sub_08B63564,0x08B63564,cfg
sub_08B6360C,0x08B6360C,cfg
sub_08B636B8,0x08B636B8,cfg
sub_08B5F4FC,0x08B5F4FC,cfg
sub_08B175C0,0x08B175C0,cfg
sub_08B156F8,0x08B156F8,cfg
sub_08B1560C,0x08B1560C,cfg
sub_08A9AD14,0x08A9AD14,cfg
sub_08A9B888,0x08A9B888,cfg
sub_08A9B0A4,0x08A9B0A4,cfg
sub_08B73030,0x08B73030,cfg
sub_08A9C704,0x08A9C704,cfg
sub_08B60640,0x08B60640,cfg
sub_08B606A0,0x08B606A0,cfg
sub_08B60760,0x08B60760,cfg
sub_08B607B4,0x08B607B4,cfg
sub_08A9B50C,0x08A9B50C,cfg
sub_08A9B5B0,0x08A9B5B0,cfg
sub_08A9C6F0,0x08A9C6F0,cfg
sub_08A99F60,0x08A99F60,cfg
sub_08A9F8F8,0x08A9F8F8,cfg
sub_08AB2A6C,0x08AB2A6C,cfg
sub_08AB1190,0x08AB1190,cfg
sub_08AA155C,0x08AA155C,cfg
sub_08814E88,0x08814E88,cfg
sub_08AB2984,0x08AB2984,cfg
sub_08AB3020,0x08AB3020,cfg
sub_08B641E4,0x08B641E4,cfg
sub_08B64314,0x08B64314,cfg
sub_08B48B48,0x08B48B48,cfg
sub_08B48B0C,0x08B48B0C,cfg
sub_08B177F0,0x08B177F0,cfg
sub_08B13400,0x08B13400,cfg
sub_08AC4794,0x08AC4794,cfg
sub_08B15E58,0x08B15E58,cfg
sub_08B15AB0,0x08B15AB0,cfg
sub_08B1B8AC,0x08B1B8AC,cfg
sub_08B1C214,0x08B1C214,cfg
sub_08B17AC0,0x08B17AC0,cfg
sub_08B19928,0x08B19928,cfg
sub_08B6094C,0x08B6094C,cfg

















