# library,nid,name
IoFileMgrForUser,0x109F50BC,sceIoOpen
IoFileMgrForUser,0x810C4BC3,sceIoClose
IoFileMgrForUser,0x6A638D83,sceIoRead
IoFileMgrForUser,0x42EC03AC,sceIoWrite
IoFileMgrForUser,0x27EB27B8,sceIoLseek
IoFileMgrForUser,0x68963324,sceIoLseek32
IoFileMgrForUser,0xACE946E8,sceIoGetstat
IoFileMgrForUser,0x54F5FB11,sceIoDevctl
SysMemUserForUser,0x7591C7DB,sceKernelSetCompiledSdkVersion
SysMemUserForUser,0xF77D77CB,sceKernelSetCompilerVersion
SysMemUserForUser,0x237DBD4F,sceKernelAllocPartitionMemory
SysMemUserForUser,0xB6D61D02,sceKernelFreePartitionMemory
SysMemUserForUser,0x9D9A5BA1,sceKernelGetBlockHeadAddr
SysMemUserForUser,0x13A5ABEF,sceKernelPrintf
ThreadManForUser,0x446D8DE6,sceKernelCreateThread
ThreadManForUser,0xF475845D,sceKernelStartThread
ThreadManForUser,0x809CE29B,sceKernelExitDeleteThread
ThreadManForUser,0x293B45B8,sceKernelGetThreadId
ThreadManForUser,0xCEADEB47,sceKernelDelayThread
IoFileMgrForUser,0xB293727F,sceIoChangeAsyncPriority
IoFileMgrForUser,0xB29DDF9C,sceIoDopen
IoFileMgrForUser,0xE3EB004C,sceIoDread
IoFileMgrForUser,0xEB092469,sceIoDclose
ThreadManForUser,0x278C0DF5,sceKernelWaitThreadEnd
ThreadManForUser,0x68DA9E36,sceKernelDelayThreadCB
ThreadManForUser,0xE81CAF8F,sceKernelCreateCallback
ThreadManForUser,0xEDBA5844,sceKernelDeleteCallback
ThreadManForUser,0xD6DA4BA1,sceKernelCreateSema
ThreadManForUser,0x28B6489C,sceKernelDeleteSema
ThreadManForUser,0x3F53E640,sceKernelSignalSema
ThreadManForUser,0x4E3A1105,sceKernelWaitSema
ThreadManForUser,0xEA748E31,sceKernelChangeCurrentThreadAttr
sceUmdUser,0x46EBB729,sceUmdCheckMedium
sceUmdUser,0x6B4A146C,sceUmdGetDriveStat
sceUmdUser,0x8EF08FCE,sceUmdWaitDriveStat
sceUmdUser,0xAEE7404D,sceUmdRegisterUMDCallBack
sceUmdUser,0xBD2BDE07,sceUmdUnRegisterUMDCallBack
sceUmdUser,0xC6183D47,sceUmdActivate
LoadExecForUser,0x4AC57943,sceKernelRegisterExitCallback
SysMemUserForUser,0xA291F107,sceKernelMaxFreeMemSize
ThreadManForUser,0xC07BB470,sceKernelCreateFpl
ThreadManForUser,0xD979E9BF,sceKernelAllocateFpl
