# library,nid,name
IoFileMgrForUser,0x109F50BC,sceIoOpen
IoFileMgrForUser,0x810C4BC3,sceIoClose
IoFileMgrForUser,0x6A638D83,sceIoRead
IoFileMgrForUser,0x42EC03AC,sceIoWrite
IoFileMgrForUser,0x27EB27B8,sceIoLseek
IoFileMgrForUser,0x68963324,sceIoLseek32
IoFileMgrForUser,0xACE946E8,sceIoGetstat
IoFileMgrForUser,0x54F5FB11,sceIoDevctl
SysMemUserForUser,0x7591C7DB,sceKernelSetCompiledSdkVersion
SysMemUserForUser,0xF77D77CB,sceKernelSetCompilerVersion
SysMemUserForUser,0x237DBD4F,sceKernelAllocPartitionMemory
SysMemUserForUser,0xB6D61D02,sceKernelFreePartitionMemory
SysMemUserForUser,0x9D9A5BA1,sceKernelGetBlockHeadAddr
SysMemUserForUser,0x13A5ABEF,sceKernelPrintf
ThreadManForUser,0x446D8DE6,sceKernelCreateThread
ThreadManForUser,0xF475845D,sceKernelStartThread
ThreadManForUser,0x809CE29B,sceKernelExitDeleteThread
ThreadManForUser,0x293B45B8,sceKernelGetThreadId
ThreadManForUser,0xCEADEB47,sceKernelDelayThread
IoFileMgrForUser,0xB293727F,sceIoChangeAsyncPriority
IoFileMgrForUser,0xB29DDF9C,sceIoDopen
IoFileMgrForUser,0xE3EB004C,sceIoDread
IoFileMgrForUser,0xEB092469,sceIoDclose
ThreadManForUser,0x278C0DF5,sceKernelWaitThreadEnd
ThreadManForUser,0x68DA9E36,sceKernelDelayThreadCB
ThreadManForUser,0xE81CAF8F,sceKernelCreateCallback
ThreadManForUser,0xEDBA5844,sceKernelDeleteCallback
ThreadManForUser,0xD6DA4BA1,sceKernelCreateSema
ThreadManForUser,0x28B6489C,sceKernelDeleteSema
ThreadManForUser,0x3F53E640,sceKernelSignalSema
ThreadManForUser,0x4E3A1105,sceKernelWaitSema
ThreadManForUser,0xEA748E31,sceKernelChangeCurrentThreadAttr
sceUmdUser,0x46EBB729,sceUmdCheckMedium
sceUmdUser,0x6B4A146C,sceUmdGetDriveStat
sceUmdUser,0x8EF08FCE,sceUmdWaitDriveStat
sceUmdUser,0xAEE7404D,sceUmdRegisterUMDCallBack
sceUmdUser,0xBD2BDE07,sceUmdUnRegisterUMDCallBack
sceUmdUser,0xC6183D47,sceUmdActivate
LoadExecForUser,0x4AC57943,sceKernelRegisterExitCallback
SysMemUserForUser,0xA291F107,sceKernelMaxFreeMemSize
ThreadManForUser,0xC07BB470,sceKernelCreateFpl
ThreadManForUser,0xD979E9BF,sceKernelAllocateFpl
InterruptManager,0xCA04A2B9,sceKernelRegisterSubIntrHandler
InterruptManager,0xD61E6961,sceKernelReleaseSubIntrHandler
InterruptManager,0xFB8E22EC,sceKernelEnableSubIntr
IoFileMgrForUser,0x779103A0,sceIoRename
Kernel_Library,0x092968F4,sceKernelCpuSuspendIntr
Kernel_Library,0x293B45B8,sceKernelGetThreadId
Kernel_Library,0x5F10D406,sceKernelCpuResumeIntr
Kernel_Library,0xA089ECA4,sceKernelMemset
LoadExecForUser,0x05572A5F,sceKernelExitGame
ModuleMgrForUser,0x2E0911AA,sceKernelUnloadModule
ModuleMgrForUser,0x50F0C1EC,sceKernelStartModule
ModuleMgrForUser,0x8F2DF740,sceKernelStopUnloadSelfModuleWithStatus
ModuleMgrForUser,0xB7F46618,sceKernelLoadModuleByID
ModuleMgrForUser,0xD1FF982A,sceKernelStopModule
ModuleMgrForUser,0xD8B73127,sceKernelGetModuleIdByAddress
ModuleMgrForUser,0xF0A26395,sceKernelGetModuleId
StdioForUser,0x172D316E,sceKernelStdin
StdioForUser,0xA6BAB2E9,sceKernelStdout
StdioForUser,0xF78BA90A,sceKernelStderr
SysMemUserForUser,0x1B4217BC,sceKernelSetCompiledSdkVersion603_605
SysMemUserForUser,0x50F61D8A,sceKernelFreeMemoryBlock
SysMemUserForUser,0xDB83A952,sceKernelGetMemoryBlockAddr
SysMemUserForUser,0xFE707FDF,sceKernelAllocMemoryBlock
ThreadManForUser,0x1FB15A32,sceKernelSetEventFlag
ThreadManForUser,0x20FFF560,sceKernelCreateVTimer
ThreadManForUser,0x27E22EC2,sceKernelResumeDispatchThread
ThreadManForUser,0x30FD48F0,sceKernelPollEventFlag
ThreadManForUser,0x369ED59D,sceKernelGetSystemTimeLow
ThreadManForUser,0x383F7BCC,sceKernelTerminateDeleteThread
ThreadManForUser,0x3AD58B8C,sceKernelSuspendDispatchThread
ThreadManForUser,0x3B183E26,sceKernelGetThreadExitStatus
ThreadManForUser,0x402FCF22,sceKernelWaitEventFlag
ThreadManForUser,0x53B00E9A,sceKernelSetVTimerHandlerWide
ThreadManForUser,0x55C20A00,sceKernelCreateEventFlag
ThreadManForUser,0x58B1F937,sceKernelPollSema
ThreadManForUser,0x616403BA,sceKernelTerminateThread
ThreadManForUser,0x6B30100F,sceKernelUnlockMutex
ThreadManForUser,0x71BC9871,sceKernelChangeThreadPriority
ThreadManForUser,0x812346E4,sceKernelClearEventFlag
ThreadManForUser,0x82826F70,sceKernelSleepThreadCB
ThreadManForUser,0x82BC5777,sceKernelGetSystemTimeWide
ThreadManForUser,0x94AA61EE,sceKernelGetThreadCurrentPriority
ThreadManForUser,0x9ACE131E,sceKernelSleepThread
ThreadManForUser,0x9FA03CD3,sceKernelDeleteThread
ThreadManForUser,0xAA73C935,sceKernelExitThread
ThreadManForUser,0xB011B11F,sceKernelLockMutex
ThreadManForUser,0xB7D098C6,sceKernelCreateMutex
ThreadManForUser,0xC68D9437,sceKernelStartVTimer
ThreadManForUser,0xD59EAD2F,sceKernelWakeupThread
ThreadManForUser,0xDB738F35,sceKernelGetSystemTime
ThreadManForUser,0xE1619D7C,sceKernelSysClock2USecWide
ThreadManForUser,0xEF9E4C70,sceKernelDeleteEventFlag
ThreadManForUser,0xF8170FBE,sceKernelDeleteMutex
UtilsForUser,0x27CC57F0,sceKernelLibcTime
UtilsForUser,0x3EE30821,sceKernelDcacheWritebackRange
UtilsForUser,0x6AD345D7,sceKernelSetGPO
UtilsForUser,0x71EC4271,sceKernelLibcGettimeofday
UtilsForUser,0x79D1C3FA,sceKernelDcacheWritebackAll
UtilsForUser,0x91E4F6A7,sceKernelLibcClock
UtilsForUser,0x920F104A,sceKernelIcacheInvalidateAll
UtilsForUser,0xB435DEC5,sceKernelDcacheWritebackInvalidateAll
